"","Brazil","China","Colombia","Costa Rica","Ethiopia","Guatemala","Honduras","Mexico","Nicaragua","Peru"
"2014",36573,1473,12420,1180,3500,3070,4760,2560,1925,2750
"2015",35543,2030,12390,1220,3405,3044,5000,2340,2060,3300
"2016",33081,1672,13755,1120,3853,3330,7175,2865,2450,4025
"2017",30454,1845,12725,1210,3893,3465,7225,3220,2515,4185
"2018",41426,1600,13615,1080,4174,3604,6910,2896,2790,4293
"2019",40256,1130,13005,1140,4135,3220,4900,2986,2740,3720
"2020",45675,685,12755,1165,4675,3691,6010,3007,2500,3326
"2021",39685,1115,12365,1110,4831,3354,4650,2933,2720,4065
"2022",36145,685,10700,1035,3910,3004,5350,2530,2480,3300
"2023",43850,1175,12000,1210,4820,3169,6200,3025,2580,4060
